speaker,condition,split,source_file,fragment_id,position_index,vad_region_index,start_sample,end_sample,start_time,end_time,duration,true_length,padded_length,padding_ratio,raw_file,tensor_file,total_fragments,relative_position,magnitude_shape,phase_shape,phase_sin_shape,phase_cos_shape,if_shape,modgd_shape,logmel_shape,mr_mag_256_shape,mr_phase_256_shape,mr_mag_512_shape,mr_phase_512_shape,mr_mag_1024_shape,mr_phase_1024_shape,available_features,sample_rate
s1,clean,val,s1_clean_01.wav,0,0,0,10752,13056,0.672,0.816,0.144,2304,6336,0.6363636363636364,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_01\raw\fragment_000.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_01\padded\fragment_000.npy,6,0.0,"[513, 37]","[513, 37]","[513, 37]","[513, 37]","[513, 37]","[513, 37]","[80, 37]","[129, 73]","[129, 73]","[257, 37]","[257, 37]","[513, 19]","[513, 19]","['if', 'logmel', 'magnitude', 'modgd', 'mr_mag_1024', 'mr_mag_256', 'mr_mag_512', 'mr_phase_1024', 'mr_phase_256', 'mr_phase_512', 'phase', 'phase_cos', 'phase_sin']",16000
s1,clean,train,s1_clean_01.wav,1,1,0,13056,17408,0.816,1.088,0.272,4352,6336,0.3131313131313131,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_01\raw\fragment_001.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_01\padded\fragment_001.npy,6,0.2,"[513, 69]","[513, 69]","[513, 69]","[513, 69]","[513, 69]","[513, 69]","[80, 69]","[129, 137]","[129, 137]","[257, 69]","[257, 69]","[513, 35]","[513, 35]","['if', 'logmel', 'magnitude', 'modgd', 'mr_mag_1024', 'mr_mag_256', 'mr_mag_512', 'mr_phase_1024', 'mr_phase_256', 'mr_phase_512', 'phase', 'phase_cos', 'phase_sin']",16000
s1,clean,train,s1_clean_01.wav,2,2,1,18432,21888,1.152,1.368,0.216,3456,6336,0.4545454545454546,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_01\raw\fragment_002.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_01\padded\fragment_002.npy,6,0.4,"[513, 55]","[513, 55]","[513, 55]","[513, 55]","[513, 55]","[513, 55]","[80, 55]","[129, 109]","[129, 109]","[257, 55]","[257, 55]","[513, 28]","[513, 28]","['if', 'logmel', 'magnitude', 'modgd', 'mr_mag_1024', 'mr_mag_256', 'mr_mag_512', 'mr_phase_1024', 'mr_phase_256', 'mr_phase_512', 'phase', 'phase_cos', 'phase_sin']",16000
s1,clean,train,s1_clean_01.wav,3,3,1,21888,23552,1.368,1.472,0.104,1664,6336,0.7373737373737373,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_01\raw\fragment_003.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_01\padded\fragment_003.npy,6,0.6,"[513, 27]","[513, 27]","[513, 27]","[513, 27]","[513, 27]","[513, 27]","[80, 27]","[129, 53]","[129, 53]","[257, 27]","[257, 27]","[513, 14]","[513, 14]","['if', 'logmel', 'magnitude', 'modgd', 'mr_mag_1024', 'mr_mag_256', 'mr_mag_512', 'mr_phase_1024', 'mr_phase_256', 'mr_phase_512', 'phase', 'phase_cos', 'phase_sin']",16000
s1,clean,train,s1_clean_01.wav,4,4,1,23552,25088,1.472,1.568,0.096,1536,6336,0.7575757575757576,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_01\raw\fragment_004.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_01\padded\fragment_004.npy,6,0.8,"[513, 25]","[513, 25]","[513, 25]","[513, 25]","[513, 25]","[513, 25]","[80, 25]","[129, 49]","[129, 49]","[257, 25]","[257, 25]","[513, 13]","[513, 13]","['if', 'logmel', 'magnitude', 'modgd', 'mr_mag_1024', 'mr_mag_256', 'mr_mag_512', 'mr_phase_1024', 'mr_phase_256', 'mr_phase_512', 'phase', 'phase_cos', 'phase_sin']",16000
s1,clean,val,s1_clean_01.wav,5,5,1,25088,30208,1.568,1.888,0.32,5120,6336,0.1919191919191919,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_01\raw\fragment_005.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_01\padded\fragment_005.npy,6,1.0,"[513, 81]","[513, 81]","[513, 81]","[513, 81]","[513, 81]","[513, 81]","[80, 81]","[129, 161]","[129, 161]","[257, 81]","[257, 81]","[513, 41]","[513, 41]","['if', 'logmel', 'magnitude', 'modgd', 'mr_mag_1024', 'mr_mag_256', 'mr_mag_512', 'mr_phase_1024', 'mr_phase_256', 'mr_phase_512', 'phase', 'phase_cos', 'phase_sin']",16000
s1,clean,train,s1_clean_02.wav,0,0,0,5120,9216,0.32,0.576,0.256,4096,6336,0.3535353535353535,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_02\raw\fragment_000.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_02\padded\fragment_000.npy,7,0.0,"[513, 65]","[513, 65]","[513, 65]","[513, 65]","[513, 65]","[513, 65]","[80, 65]","[129, 129]","[129, 129]","[257, 65]","[257, 65]","[513, 33]","[513, 33]","['if', 'logmel', 'magnitude', 'modgd', 'mr_mag_1024', 'mr_mag_256', 'mr_mag_512', 'mr_phase_1024', 'mr_phase_256', 'mr_phase_512', 'phase', 'phase_cos', 'phase_sin']",16000
s1,clean,train,s1_clean_02.wav,1,1,0,9216,11776,0.576,0.736,0.16,2560,6336,0.595959595959596,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_02\raw\fragment_001.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_02\padded\fragment_001.npy,7,0.1666666666666666,"[513, 41]","[513, 41]","[513, 41]","[513, 41]","[513, 41]","[513, 41]","[80, 41]","[129, 81]","[129, 81]","[257, 41]","[257, 41]","[513, 21]","[513, 21]","['if', 'logmel', 'magnitude', 'modgd', 'mr_mag_1024', 'mr_mag_256', 'mr_mag_512', 'mr_phase_1024', 'mr_phase_256', 'mr_phase_512', 'phase', 'phase_cos', 'phase_sin']",16000
s1,clean,train,s1_clean_02.wav,2,2,0,11776,14208,0.736,0.888,0.152,2432,6336,0.6161616161616161,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_02\raw\fragment_002.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_02\padded\fragment_002.npy,7,0.3333333333333333,"[513, 39]","[513, 39]","[513, 39]","[513, 39]","[513, 39]","[513, 39]","[80, 39]","[129, 77]","[129, 77]","[257, 39]","[257, 39]","[513, 20]","[513, 20]","['if', 'logmel', 'magnitude', 'modgd', 'mr_mag_1024', 'mr_mag_256', 'mr_mag_512', 'mr_phase_1024', 'mr_phase_256', 'mr_phase_512', 'phase', 'phase_cos', 'phase_sin']",16000
s1,clean,train,s1_clean_02.wav,3,3,0,14208,16000,0.888,1.0,0.112,1792,6336,0.7171717171717171,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_02\raw\fragment_003.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_02\padded\fragment_003.npy,7,0.5,"[513, 29]","[513, 29]","[513, 29]","[513, 29]","[513, 29]","[513, 29]","[80, 29]","[129, 57]","[129, 57]","[257, 29]","[257, 29]","[513, 15]","[513, 15]","['if', 'logmel', 'magnitude', 'modgd', 'mr_mag_1024', 'mr_mag_256', 'mr_mag_512', 'mr_phase_1024', 'mr_phase_256', 'mr_phase_512', 'phase', 'phase_cos', 'phase_sin']",16000
