speaker,condition,split,source_file,fragment_id,position_index,vad_region_index,start_sample,end_sample,start_time,end_time,duration,true_length,padded_length,padding_ratio,raw_file,tensor_file,total_fragments,relative_position
s1,clean,train,s1_clean_01.wav,0,0,0,10752,13056,0.672,0.816,0.144,2304,6336,0.6363636363636364,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_01\raw\fragment_000.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_01\padded\fragment_000.npy,6,0.0
s1,clean,train,s1_clean_01.wav,1,1,0,13056,17408,0.816,1.088,0.272,4352,6336,0.31313131313131315,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_01\raw\fragment_001.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_01\padded\fragment_001.npy,6,0.2
s1,clean,train,s1_clean_01.wav,2,2,1,18432,21888,1.152,1.368,0.216,3456,6336,0.4545454545454546,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_01\raw\fragment_002.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_01\padded\fragment_002.npy,6,0.4
s1,clean,train,s1_clean_01.wav,3,3,1,21888,23552,1.368,1.472,0.104,1664,6336,0.7373737373737373,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_01\raw\fragment_003.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_01\padded\fragment_003.npy,6,0.6
s1,clean,train,s1_clean_01.wav,4,4,1,23552,25088,1.472,1.568,0.096,1536,6336,0.7575757575757576,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_01\raw\fragment_004.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_01\padded\fragment_004.npy,6,0.8
s1,clean,train,s1_clean_01.wav,5,5,1,25088,30208,1.568,1.888,0.32,5120,6336,0.19191919191919193,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_01\raw\fragment_005.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_01\padded\fragment_005.npy,6,1.0
s1,clean,train,s1_clean_02.wav,0,0,0,5120,9216,0.32,0.576,0.256,4096,6336,0.3535353535353535,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_02\raw\fragment_000.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_02\padded\fragment_000.npy,7,0.0
s1,clean,train,s1_clean_02.wav,1,1,0,9216,11776,0.576,0.736,0.16,2560,6336,0.595959595959596,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_02\raw\fragment_001.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_02\padded\fragment_001.npy,7,0.16666666666666666
s1,clean,train,s1_clean_02.wav,2,2,0,11776,14208,0.736,0.888,0.152,2432,6336,0.6161616161616161,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_02\raw\fragment_002.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_02\padded\fragment_002.npy,7,0.3333333333333333
s1,clean,train,s1_clean_02.wav,3,3,0,14208,16000,0.888,1.0,0.112,1792,6336,0.7171717171717171,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_02\raw\fragment_003.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_02\padded\fragment_003.npy,7,0.5
s1,clean,train,s1_clean_02.wav,4,4,0,16000,19200,1.0,1.2,0.2,3200,6336,0.4949494949494949,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_02\raw\fragment_004.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_02\padded\fragment_004.npy,7,0.6666666666666666
s1,clean,train,s1_clean_02.wav,5,5,0,19200,21248,1.2,1.328,0.128,2048,6336,0.6767676767676767,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_02\raw\fragment_005.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_02\padded\fragment_005.npy,7,0.8333333333333334
s1,clean,train,s1_clean_02.wav,6,6,0,21248,26880,1.328,1.68,0.352,5632,6336,0.11111111111111116,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_02\raw\fragment_006.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_02\padded\fragment_006.npy,7,1.0
s1,clean,train,s1_clean_03.wav,0,0,0,6144,9344,0.384,0.584,0.2,3200,6336,0.4949494949494949,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_03\raw\fragment_000.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_03\padded\fragment_000.npy,6,0.0
s1,clean,train,s1_clean_03.wav,1,1,0,9344,12544,0.584,0.784,0.2,3200,6336,0.4949494949494949,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_03\raw\fragment_001.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_03\padded\fragment_001.npy,6,0.2
