epoch,epoch_time,ram_gb,cpu_percent
1,1403.25,18.47,
2,1317.25,15.48,
3,1312.24,13.34,
4,1330.94,13.17,
5,1325.05,18.49,
6,1328.01,18.52,
7,1320.55,18.54,
8,1324.14,18.55,
9,1307.93,18.44,
10,1454.69,13.65,
11,1443.86,17.99,
12,1395.86,18.55,
13,1382.66,18.49,
14,1368.9,18.49,
15,1354.1,18.49,
16,1373.29,18.56,
17,1350.53,18.5,
18,1350.65,18.53,
19,1354.02,18.58,
20,1371.73,18.61,
21,1358.1,18.53,
22,1351.45,18.5,
23,1357.37,18.54,
24,1358.29,18.6,
25,1358.59,18.44,
26,1361.71,18.53,
27,1367.22,18.5,
28,1369.51,18.56,
29,1364.95,18.6,
30,1375.81,18.42,
31,1368.62,18.6,
32,1372.78,18.59,
33,1369.53,18.48,
34,1372.92,18.34,
35,1329.8,17.55,
36,1259.84,18.38,
37,1296.55,18.48,
38,1296.99,18.58,
39,1333.98,18.65,
40,1376.2,18.52,
41,1343.68,18.53,
42,1337.05,18.43,
43,1349.31,18.58,
44,1353.39,18.57,
45,1371.06,18.35,
46,1359.95,18.53,
47,1362.31,18.62,
48,1366.76,18.61,
49,1413.56,13.17,
50,1347.4,18.11,
51,1354.52,13.12,
52,1426.96,15.02,
53,1355.56,13.02,
54,1344.88,18.46,
55,1335.83,18.54,
56,1321.42,18.37,
57,1335.03,18.35,
58,1337.6,18.51,
59,1350.95,18.54,
60,1370.65,18.55,
61,1334.46,18.5,
62,1337.88,18.43,
63,1350.69,18.52,
64,1326.37,18.4,
65,1314.34,18.37,
66,1320.84,18.63,
67,1329.42,18.43,
68,1325.56,18.66,
69,1322.35,18.46,
70,1355.44,18.61,
71,1331.37,18.57,
72,1347.7,18.64,
73,1356.48,18.62,
74,1355.07,18.53,
75,1351.47,18.54,
76,1361.51,18.53,
77,1322.79,18.39,
78,1451.1,14.28,
79,1441.25,14.18,
80,1330.45,18.53,
81,1296.99,18.57,
82,1301.42,18.68,
83,1299.48,18.6,
84,1299.11,18.52,
85,1293.78,18.61,
86,1295.01,18.55,
87,1300.33,18.52,
88,1310.24,18.51,
89,1308.73,18.59,
90,1323.83,18.65,
91,1304.76,18.53,
92,1312.08,18.5,
93,1312.51,18.39,
94,1313.4,18.6,
95,1317.16,18.53,
96,1316.78,18.54,
97,1519.39,18.44,
98,1327.47,18.26,
99,1312.33,18.67,
100,1331.61,18.36,
101,1325.57,18.56,
102,1331.16,18.47,
103,1337.58,18.56,
104,1339.05,18.52,
105,1344.39,18.57,
106,1345.24,18.47,
107,1336.3,18.53,
108,1362.77,18.65,
109,1372.71,18.59,
110,1390.18,18.59,
111,1367.6,18.66,
112,1369.13,18.6,
113,1376.35,18.58,
114,1381.01,18.6,
115,1385.65,18.57,
116,1389.01,18.69,
117,1392.69,18.58,
118,1403.34,18.67,
119,1400.88,18.65,
120,1434.12,18.6,
121,1403.51,18.57,
122,1406.96,18.64,
123,1417.03,18.59,
124,1401.56,18.55,
125,1400.66,18.63,
126,1405.53,18.51,
127,1404.65,18.6,
128,1401.57,18.55,
129,1408.27,18.34,
130,1443.65,18.44,
131,1444.69,18.54,
132,1317.58,16.45,
133,1422.523592710495,17.707374572753906,53.5
134,1395.7428832054138,13.22774887084961,74.0
135,1290.4055993556976,12.851093292236328,70.6
136,1308.3134407997131,12.770614624023438,69.5
137,1300.8907656669617,18.172088623046875,69.4
138,1296.0401570796969,18.18069076538086,70.1
